"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"10 mai 2016 14:07:45 UTC+00:00","6744996172","Commande","171-0898893-9775505","Drum","batterie électronique avec pad de percussion, parfait pour les débutants et les enfants","1","amazon.fr","Amazon","ANTONY","","92160","44,99","0","0","0","-5,40","-3,50","0","0","36,09"
"10 mai 2016 14:26:22 UTC+00:00","6744996172","Commande","403-0527160-8920347","declock08","LED Alarme Horloge avec humidité/ date/ température/ Capteur Fonction et rétroéclairage Intelligent commande tactile (bleu)","1","amazon.fr","Amazon","Boulogne Billancourt","","92100","11,99","3,99","0","0","-1,80","-6,07","0","0","8,11"
"10 mai 2016 14:28:51 UTC+00:00","6744996172","Commande","403-8583868-8275523","342A-FR-FBA","Perche Monopode, Amorus® Perche de Selfie stick sans fil Bluetooth monopode pour iPhone 6/6 Plus, Samsung Galaxy S6 / S6 Bord / Note 4, Gopro Hero / H","1","amazon.fr","Amazon","le Chesnay","","78150","15,99","0","0","0","-1,92","-2,38","0","0","11,69"
"10 mai 2016 16:25:58 UTC+00:00","6744996172","Remboursement","403-1299246-9054764","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","Montauroux","","83440","-54,99","0","0","0","5,28","0","0","0","-49,71"
"11 mai 2016 08:30:28 UTC+00:00","6744996172","Commande","S02-3900347-9881312","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","St Michel Sur Orge","","91240","0","0","0","0","0","-1,80","0","0","-1,80"
"11 mai 2016 08:30:28 UTC+00:00","6744996172","Commande","S02-3900347-9881312","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","St Michel Sur Orge","","91240","0","0","0","0","0","0","0","-3,40","-3,40"
"11 mai 2016 15:10:02 UTC+00:00","6744996172","Commande","402-5363173-7306754","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","CACHAN","","94230","54,99","1,99","0","0","-6,60","-5,36","0","0","45,02"
"11 mai 2016 16:42:01 UTC+00:00","6744996172","Commande","403-9059304-1364304","146A-FR-FBA","Amours® Étui de transport protection portatif de stockage en voyage pour GoPro Hero4 /Hero4 Black/Hero 4 Silver/Hero/Hero3/Hero3+/Hero2 et Accessoires","1","amazon.fr","Amazon","Allan","","26780","9,99","0","0","0","-1,20","-2,74","0","0","6,05"
"12 mai 2016 06:19:01 UTC+00:00","6744996172","Commande","S02-1322982-2028509","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","EMBOURG","","4053","0","0","0","0","0","-6,25","0","0","-6,25"
"12 mai 2016 06:19:01 UTC+00:00","6744996172","Commande","S02-1322982-2028509","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","EMBOURG","","4053","0","0","0","0","0","0","0","-0,22","-0,22"
